species	dateversion	value	dataset	version	date	ucscId	speciesShort	speciesLong
Rattus norvegicus (Rat)	Feb.2012v66	RGSC3.4	rnorvegicus_gene_ensembl	66	Feb.2012	rn4	Rat	Rattus norvegicus
Rattus norvegicus (Rat)	Dec.2014v78	Rnor_5.0	rnorvegicus_gene_ensembl	78	Dec.2014	rn5	Rat	Rattus norvegicus
Rattus norvegicus (Rat)	May.2015v80	Rnor_6.0	rnorvegicus_gene_ensembl	84	May.2015	rn6	Rat	Rattus norvegicus
Saccharomyces cerevisiae	Dec.2014v78	R64-1-1	scerevisiae_gene_ensembl	78	Dec.2014	sacCer3	Saccharomyces cerevisiae	Saccharomyces cerevisiae
Sarcophilus harrisii (Tasmanian Devil)	Dec.2014v78	Devil_refv7.0	sharrisii_gene_ensembl	78	Dec.2014	sarHar1	Tasmanian Devil	Sarcophilus harrisii
Sorex araneus (Shrew)	Dec.2014v78	sorAra1	saraneus_gene_ensembl	78	Dec.2014	sorAra1	Shrew	Sorex araneus
Sus scrofa (Pig)	Feb.2012v66	Sscrofa9	sscrofa_gene_ensembl	66	May.2009	susScr2	Pig	Sus scrofa
Sus scrofa (Pig)	Dec.2014v78	Sscrofa10.2	sscrofa_gene_ensembl	78	Dec.2014	susScr3	Pig	Sus scrofa
Taeniopygia guttata (Zebra finch)	Dec.2014v78	taeGut3.2.4	tguttata_gene_ensembl	78	Dec.2014	taeGut2	Zebra finch	Taeniopygia guttata
Takifugu rubripes (Fugu)	Dec.2014v78	FUGU4.0	trubripes_gene_ensembl	78	Dec.2014	fr2	Fugu	Takifugu rubripes
Tarsius syrichta (Tarsier)	Dec.2014v78	tarSyr1	syrichta_gene_ensembl	78	Dec.2014	tarSyr1	Tarsier	Tarsius syrichta
Tetraodon nigroviridis (Tetraodon)	Dec.2014v78	TETRAODON8.0	tnigroviridis_gene_ensembl	78	Dec.2014	tetNig2	Tetraodon	Tetraodon nigroviridis
Tupaia belangeri (Tree Shrew)	Dec.2014v78	tupBel1	tbelangeri_gene_ensembl	78	Dec.2014	tupBel1	Tree Shrew	Tupaia belangeri
Tursiops truncatus (Dolphin)	Dec.2014v78	turTru1	ttruncatus_gene_ensembl	78	Dec.2014	turTru1	Dolphin	Tursiops truncatus
Vicugna pacos (Alpaca)	Dec.2014v78	vicPac1	vpacos_gene_ensembl	78	Dec.2014	vicPac1	Alpaca	Vicugna pacos
Xenopus tropicalis (Xenopus)	May.2009v54	JGI4.1	xtropicalis_gene_ensembl	54	May.2009	xenTro2	Xenopus	Xenopus tropicalis
Xenopus tropicalis (Xenopus)	Dec.2014v78	JGI4.2	xtropicalis_gene_ensembl	78	Dec.2014	xenTro3	Xenopus	Xenopus tropicalis
Xiphophorus maculatus (Platyfish)	Dec.2014v78	Xipmac4.4.2	xmaculatus_gene_ensembl	78	Dec.2014	xipMac1	Platyfish	Xiphophorus maculatus
